"method","month","Grasslands","Croplands","Mixed forests","Deciduous broadleaf forests","Evergreen needleleaf forests","Evergreen broadleaf forests","Closed shrublands"
"Alencar et al.",6.5,0.071969696969697,0.0603448275862069,0.0833333333333333,0.0582191780821918,0.0602836879432624,0.0192307692307692,0.0606060606060606
"Christian et al.",6.5,0.128787878787879,0.113505747126437,0.0944444444444444,0.0684931506849315,0.0877659574468085,0.0576923076923077,0.113636363636364
"Ford and Labosier",6.5,0.117424242424242,0.107758620689655,0.0444444444444444,0.0684931506849315,0.0709219858156028,0.0576923076923077,0.121212121212121
"Mo and Lettenmeier",6.5,0.375,0.25,0.341666666666667,0.267123287671233,0.24468085106383,0.185897435897436,0.0833333333333333
"Mod. Ford and Labosier",6.5,0.0871212121212121,0.0646551724137931,0.0333333333333333,0.0468036529680365,0.0434397163120567,0.0384615384615385,0.0606060606060606
"Multi-criteria",6.5,0.0568181818181818,0.0531609195402299,0.0583333333333333,0.0570776255707763,0.0602836879432624,0.0705128205128205,0.053030303030303
"Noguera et al.",6.5,0.0833333333333333,0.0905172413793103,0.113888888888889,0.0799086757990868,0.0824468085106383,0.0320512820512821,0.174242424242424
"Osman et al.",6.5,0.125,0.119252873563218,0.102777777777778,0.0730593607305936,0.113475177304965,0.108974358974359,0.113636363636364
"Pendergrass et al.",6.5,0.0643939393939394,0.0574712643678161,0.0527777777777778,0.0559360730593607,0.0558510638297872,0.0128205128205128,0.0303030303030303
